ID,Prob1
253, 0.47
254, 0.62
255, 0.43
256, 0.63
257, 0.60
258, 0.70
259, 0.60
260, 0.44
261, 0.46
262, 0.51
263, 0.75
264, 0.57
265, 0.61
266, 0.56
267, 0.62
268, 0.62
269, 0.40
270, 0.63
271, 0.67
272, 0.57
273, 0.58
274, 0.42
275, 0.58
276, 0.58
277, 0.45
278, 0.59
279, 0.50
280, 0.76
281, 0.66
282, 0.76
283, 0.59
284, 0.66
285, 0.54
286, 0.56
287, 0.58
288, 0.74
289, 0.37
290, 0.62
291, 0.52
292, 0.71
293, 0.60
294, 0.30
295, 0.44
296, 0.46
297, 0.53
298, 0.58
299, 0.65
300, 0.58
301, 0.64
302, 0.61
303, 0.53
304, 0.51
305, 0.64
306, 0.42
307, 0.54
308, 0.55
309, 0.65
310, 0.65
311, 0.49
312, 0.77
313, 0.47
314, 0.57
315, 0.61
316, 0.64
317, 0.69
318, 0.52
319, 0.48
320, 0.49
321, 0.75
322, 0.47
323, 0.46
324, 0.56
325, 0.67
326, 0.57
327, 0.56
328, 0.51
329, 0.47
330, 0.56
331, 0.43
332, 0.48
333, 0.47
334, 0.74
335, 0.61
336, 0.38
337, 0.68
338, 0.65
339, 0.61
340, 0.67
341, 0.45
342, 0.51
343, 0.47
344, 0.75
345, 0.39
346, 0.48
347, 0.53
348, 0.51
349, 0.63
350, 0.72
351, 0.52
352, 0.68
353, 0.65
354, 0.57
355, 0.63
356, 0.59
357, 0.49
358, 0.56
359, 0.53
360, 0.47
361, 0.61
362, 0.53
363, 0.65
364, 0.60
365, 0.67
366, 0.62
367, 0.72
368, 0.61
369, 0.48
370, 0.55
371, 0.51
372, 0.33
373, 0.73
374, 0.72
375, 0.61
376, 0.57
377, 0.61
378, 0.59
379, 0.60
380, 0.61
381, 0.55
382, 0.46
383, 0.60
384, 0.66
385, 0.57
386, 0.50
387, 0.58
388, 0.68
389, 0.48
390, 0.74
391, 0.56
392, 0.71
393, 0.60
394, 0.65
395, 0.67
396, 0.53
397, 0.47
398, 0.63
399, 0.62
400, 0.62
401, 0.57
402, 0.66
403, 0.67
404, 0.50
405, 0.60
406, 0.49
407, 0.63
408, 0.59
409, 0.49
410, 0.47
411, 0.51
412, 0.54
413, 0.67
414, 0.50
415, 0.53
416, 0.59
417, 0.70
418, 0.65
419, 0.52
420, 0.67
421, 0.59
422, 0.54
423, 0.67
424, 0.76
425, 0.65
426, 0.62
427, 0.72
428, 0.75
429, 0.54
430, 0.59
431, 0.49
432, 0.66
433, 0.56
434, 0.76
435, 0.58
436, 0.55
437, 0.52
438, 0.54
439, 0.51
440, 0.50
441, 0.60
442, 0.31
443, 0.53
444, 0.59
445, 0.56
446, 0.66
447, 0.47
448, 0.42
449, 0.65
450, 0.54
451, 0.52
452, 0.70
453, 0.69
454, 0.51
455, 0.50
456, 0.61
457, 0.51
458, 0.62
459, 0.59
460, 0.59
461, 0.63
462, 0.66
463, 0.74
464, 0.74
465, 0.57
466, 0.61
467, 0.59
468, 0.72
469, 0.62
470, 0.51
471, 0.56
472, 0.50
473, 0.71
474, 0.70
475, 0.75
476, 0.76
477, 0.62
478, 0.50
479, 0.49
480, 0.54
481, 0.75
482, 0.76
483, 0.60
484, 0.49
485, 0.61
486, 0.51
487, 0.76
488, 0.56
489, 0.55
490, 0.48
491, 0.49
492, 0.37
493, 0.57
494, 0.48
495, 0.29
496, 0.29
497, 0.52
498, 0.52
499, 0.66
500, 0.71
501, 0.52
502, 0.50
503, 0.67
504, 0.50
505, 0.77
506, 0.68
507, 0.77
508, 0.61
509, 0.58
510, 0.62
511, 0.58
512, 0.36
513, 0.52
514, 0.56
515, 0.69
516, 0.50
517, 0.61
518, 0.58
519, 0.37
520, 0.49
521, 0.61
522, 0.52
523, 0.56
524, 0.46
525, 0.56
526, 0.65
527, 0.64
528, 0.64
529, 0.57
530, 0.57
531, 0.53
532, 0.46
533, 0.70
534, 0.58
535, 0.64
536, 0.66
537, 0.57
538, 0.63
539, 0.52
540, 0.55
541, 0.57
542, 0.60
543, 0.77
544, 0.48
545, 0.56
546, 0.53
547, 0.36
548, 0.59
549, 0.52
550, 0.51
551, 0.55
552, 0.76
553, 0.26
554, 0.61
555, 0.54
556, 0.46
557, 0.75
558, 0.68
559, 0.68
560, 0.63
561, 0.53
562, 0.69
563, 0.76
564, 0.47
565, 0.74
566, 0.64
567, 0.75
568, 0.55
569, 0.76
570, 0.42
571, 0.41
572, 0.71
573, 0.45
574, 0.53
575, 0.66
576, 0.65
577, 0.39
578, 0.56
579, 0.61
580, 0.57
581, 0.58
582, 0.33
583, 0.54
584, 0.50
585, 0.60
586, 0.51
587, 0.65
588, 0.51
589, 0.47
590, 0.64
591, 0.62
592, 0.58
593, 0.72
594, 0.65
595, 0.69
596, 0.58
597, 0.39
598, 0.48
599, 0.62
600, 0.68
601, 0.76
602, 0.72
603, 0.52
604, 0.68
605, 0.33
606, 0.53
607, 0.48
608, 0.74
609, 0.62
610, 0.67
611, 0.63
612, 0.55
613, 0.56
614, 0.68
615, 0.37
616, 0.62
617, 0.65
618, 0.48
619, 0.46
620, 0.42
621, 0.63
622, 0.48
623, 0.54
624, 0.53
625, 0.65
626, 0.50
627, 0.77
628, 0.61
629, 0.62
630, 0.62
631, 0.51
632, 0.59
633, 0.65
634, 0.72
635, 0.62
636, 0.78
637, 0.62
638, 0.48
639, 0.60
640, 0.56
641, 0.65
642, 0.59
643, 0.65
644, 0.65
645, 0.51
646, 0.51
647, 0.60
648, 0.73
649, 0.61
650, 0.56
651, 0.61
652, 0.68
653, 0.68
654, 0.70
655, 0.51
656, 0.71
657, 0.57
658, 0.49
659, 0.53
660, 0.56
661, 0.45
662, 0.62
663, 0.59
664, 0.51
665, 0.51
666, 0.48
667, 0.76
668, 0.58
669, 0.72
670, 0.53
671, 0.59
672, 0.75
673, 0.65
674, 0.61
675, 0.75
676, 0.47
677, 0.49
678, 0.49
679, 0.62
680, 0.76
681, 0.73
682, 0.40
683, 0.47
684, 0.57
685, 0.41
686, 0.58
687, 0.69
688, 0.56
689, 0.57
690, 0.66
691, 0.71
692, 0.61
693, 0.56
694, 0.68
695, 0.58
696, 0.66
697, 0.64
698, 0.53
699, 0.57
700, 0.56
701, 0.47
702, 0.58
703, 0.59
704, 0.50
705, 0.57
706, 0.53
707, 0.47
708, 0.54
709, 0.49
710, 0.73
711, 0.34
712, 0.60
713, 0.63
714, 0.61
715, 0.59
716, 0.50
717, 0.54
718, 0.32
719, 0.62
720, 0.47
721, 0.63
722, 0.49
723, 0.57
724, 0.49
725, 0.59
726, 0.55
727, 0.47
728, 0.53
729, 0.58
730, 0.51
731, 0.44
732, 0.60
733, 0.54
734, 0.52
735, 0.39
736, 0.65
737, 0.51
738, 0.67
739, 0.51
740, 0.59
741, 0.46
742, 0.59
743, 0.47
744, 0.69
745, 0.57
746, 0.53
747, 0.62
748, 0.53
749, 0.70
750, 0.65
751, 0.56
752, 0.61
753, 0.71
754, 0.57
755, 0.51
756, 0.69
757, 0.66
758, 0.46
759, 0.58
760, 0.44
761, 0.66
762, 0.57
763, 0.54
764, 0.60
765, 0.50
766, 0.65
767, 0.56
768, 0.48
769, 0.51
770, 0.44
771, 0.66
772, 0.56
773, 0.64
774, 0.56
775, 0.59
776, 0.63
777, 0.53
778, 0.67
779, 0.64
780, 0.66
781, 0.62
782, 0.73
783, 0.63
784, 0.58
785, 0.49
786, 0.54
787, 0.49
788, 0.50
789, 0.48
790, 0.48
791, 0.68
792, 0.43
793, 0.54
794, 0.53
795, 0.55
796, 0.50
797, 0.62
798, 0.62
799, 0.74
800, 0.61
801, 0.63
802, 0.38
803, 0.50
804, 0.66
805, 0.58
806, 0.55
807, 0.68
808, 0.47
809, 0.52
810, 0.34
811, 0.62
812, 0.72
813, 0.44
814, 0.56
815, 0.46
816, 0.70
817, 0.31
818, 0.64
819, 0.57
820, 0.67
821, 0.24
822, 0.69
823, 0.59
824, 0.51
825, 0.48
826, 0.66
827, 0.64
828, 0.72
829, 0.65
830, 0.58
831, 0.45
832, 0.58
833, 0.40
834, 0.68
835, 0.55
836, 0.69
837, 0.63
838, 0.70
839, 0.65
840, 0.51
841, 0.59
842, 0.57
843, 0.69
844, 0.49
845, 0.49
846, 0.66
847, 0.44
848, 0.48
849, 0.52
850, 0.47
851, 0.37
852, 0.50
853, 0.62
854, 0.57
855, 0.73
856, 0.51
857, 0.35
858, 0.38
859, 0.71
860, 0.66
861, 0.48
862, 0.65
863, 0.52
864, 0.67
865, 0.42
866, 0.53
867, 0.45
868, 0.59
869, 0.55
870, 0.47
871, 0.69
872, 0.53
873, 0.76
874, 0.47
875, 0.46
876, 0.51
877, 0.65
878, 0.60
879, 0.62
880, 0.65
881, 0.38
882, 0.52
883, 0.63
884, 0.52
885, 0.32
886, 0.74
887, 0.56
888, 0.62
889, 0.50
890, 0.56
891, 0.47
892, 0.68
893, 0.54
894, 0.77
895, 0.67
896, 0.35
897, 0.56
898, 0.69
899, 0.49
900, 0.58
901, 0.45
902, 0.40
903, 0.63
904, 0.76
905, 0.75
906, 0.60
907, 0.67
908, 0.31
909, 0.37
910, 0.68
911, 0.58
912, 0.51
913, 0.56
914, 0.48
915, 0.51
916, 0.38
917, 0.76
918, 0.58
919, 0.66
920, 0.49
921, 0.63
922, 0.59
923, 0.70
924, 0.69
925, 0.42
926, 0.56
927, 0.76
928, 0.45
929, 0.66
930, 0.63
931, 0.54
932, 0.49
933, 0.60
934, 0.58
935, 0.52
936, 0.67
937, 0.58
938, 0.59
939, 0.51
940, 0.65
941, 0.46
942, 0.55
943, 0.66
944, 0.53
945, 0.53
946, 0.45
947, 0.76
948, 0.45
949, 0.49
950, 0.64
951, 0.64
952, 0.53
953, 0.65
954, 0.48
955, 0.56
956, 0.57
957, 0.62
958, 0.54
959, 0.49
960, 0.54
961, 0.64
962, 0.61
963, 0.71
964, 0.54
965, 0.52
966, 0.45
967, 0.54
968, 0.56
969, 0.56
970, 0.51
971, 0.46
972, 0.64
973, 0.47
974, 0.53
975, 0.61
976, 0.65
977, 0.34
978, 0.56
979, 0.62
980, 0.59
981, 0.64
982, 0.63
983, 0.58
984, 0.36
985, 0.59
986, 0.55
987, 0.57
988, 0.67
989, 0.58
990, 0.46
991, 0.50
992, 0.52
993, 0.62
994, 0.30
995, 0.54
996, 0.59
997, 0.50
998, 0.51
999, 0.66
1000, 0.59
1001, 0.63
1002, 0.52
1003, 0.61
1004, 0.75
1005, 0.51
1006, 0.52
1007, 0.75
1008, 0.66
1009, 0.30
1010, 0.58
1011, 0.54
1012, 0.58
1013, 0.55
1014, 0.28
1015, 0.49
1016, 0.67
1017, 0.62
1018, 0.62
1019, 0.67
1020, 0.46
1021, 0.59
1022, 0.59
1023, 0.62
1024, 0.59
1025, 0.51
1026, 0.76
1027, 0.68
1028, 0.55
1029, 0.58
1030, 0.49
1031, 0.71
1032, 0.34
1033, 0.61
1034, 0.62
1035, 0.72
1036, 0.57
1037, 0.59
1038, 0.58
1039, 0.64
1040, 0.57
1041, 0.65
1042, 0.76
1043, 0.57
1044, 0.53
1045, 0.65
1046, 0.56
1047, 0.55
1048, 0.51
1049, 0.57
1050, 0.58
1051, 0.75
1052, 0.68
1053, 0.46
1054, 0.48
1055, 0.76
1056, 0.23
1057, 0.57
1058, 0.63
1059, 0.57
1060, 0.65
1061, 0.57
1062, 0.62
1063, 0.63
1064, 0.75
1065, 0.55
1066, 0.76
1067, 0.51
1068, 0.51
1069, 0.60
1070, 0.71
1071, 0.63
1072, 0.64
1073, 0.69
1074, 0.26
1075, 0.46
1076, 0.50
1077, 0.52
1078, 0.68
1079, 0.49
1080, 0.47
1081, 0.57
1082, 0.50
1083, 0.73
1084, 0.65
1085, 0.47
1086, 0.65
1087, 0.60
1088, 0.66
1089, 0.37
1090, 0.57
1091, 0.64
1092, 0.50
1093, 0.57
1094, 0.60
1095, 0.63
1096, 0.52
1097, 0.62
1098, 0.68
1099, 0.57
1100, 0.45
1101, 0.33
1102, 0.62
1103, 0.59
1104, 0.63
1105, 0.54
1106, 0.53
1107, 0.56
1108, 0.49
1109, 0.49
1110, 0.65
1111, 0.33
1112, 0.35
1113, 0.65
1114, 0.72
1115, 0.62
1116, 0.62
1117, 0.55
1118, 0.72
1119, 0.71
1120, 0.72
1121, 0.49
1122, 0.36
1123, 0.66
1124, 0.67
1125, 0.51
1126, 0.55
1127, 0.54
1128, 0.70
1129, 0.46
1130, 0.54
1131, 0.59
1132, 0.53
1133, 0.59
1134, 0.56
1135, 0.50
1136, 0.51
1137, 0.59
1138, 0.56
1139, 0.57
1140, 0.69
1141, 0.50
1142, 0.49
1143, 0.67
1144, 0.58
1145, 0.60
1146, 0.65
1147, 0.47
1148, 0.72
1149, 0.75
1150, 0.54
1151, 0.57
1152, 0.75
1153, 0.27
1154, 0.45
1155, 0.46
1156, 0.46
1157, 0.53
1158, 0.52
1159, 0.53
1160, 0.59
1161, 0.36
1162, 0.57
1163, 0.55
1164, 0.52
1165, 0.74
1166, 0.57
1167, 0.64
1168, 0.64
1169, 0.39
1170, 0.58
1171, 0.56
1172, 0.73
1173, 0.57
1174, 0.75
1175, 0.70
1176, 0.57
1177, 0.63
1178, 0.59
1179, 0.50
1180, 0.55
1181, 0.53
1182, 0.47
1183, 0.68
1184, 0.72
1185, 0.65
1186, 0.76
1187, 0.69
1188, 0.61
1189, 0.57
1190, 0.60
1191, 0.75
1192, 0.33
1193, 0.69
1194, 0.54
1195, 0.62
1196, 0.60
1197, 0.55
1198, 0.59
1199, 0.75
1200, 0.61
1201, 0.55
1202, 0.58
1203, 0.76
1204, 0.34
1205, 0.37
1206, 0.63
1207, 0.53
1208, 0.48
1209, 0.48
1210, 0.50
1211, 0.66
1212, 0.57
1213, 0.63
1214, 0.52
1215, 0.64
1216, 0.60
1217, 0.51
1218, 0.56
1219, 0.64
1220, 0.47
1221, 0.73
1222, 0.64
1223, 0.57
1224, 0.72
1225, 0.56
1226, 0.64
1227, 0.45
1228, 0.63
1229, 0.60
1230, 0.59
1231, 0.60
1232, 0.66
1233, 0.48
1234, 0.65
1235, 0.47
1236, 0.62
1237, 0.38
1238, 0.66
1239, 0.47
1240, 0.33
1241, 0.50
1242, 0.65
1243, 0.72
1244, 0.55
1245, 0.72
1246, 0.63
1247, 0.46
1248, 0.73
1249, 0.55
1250, 0.54
1251, 0.67
1252, 0.68
1253, 0.60
1254, 0.59
1255, 0.63
1256, 0.76
1257, 0.72
1258, 0.68
1259, 0.50
1260, 0.52
1261, 0.62
1262, 0.49
1263, 0.61
1264, 0.66
1265, 0.60
1266, 0.62
1267, 0.38
1268, 0.63
1269, 0.57
1270, 0.55
1271, 0.58
1272, 0.65
1273, 0.73
1274, 0.64
1275, 0.53
1276, 0.63
1277, 0.54
1278, 0.56
1279, 0.52
1280, 0.55
1281, 0.58
1282, 0.35
1283, 0.61
1284, 0.67
1285, 0.72
1286, 0.70
1287, 0.71
1288, 0.63
1289, 0.58
1290, 0.70
1291, 0.75
1292, 0.66
1293, 0.75
1294, 0.60
1295, 0.66
1296, 0.57
1297, 0.64
1298, 0.62
1299, 0.70
1300, 0.51
1301, 0.66
1302, 0.46
1303, 0.63
1304, 0.55
1305, 0.61
1306, 0.74
1307, 0.61
1308, 0.57
1309, 0.63
1310, 0.51
1311, 0.52
1312, 0.44
1313, 0.56
1314, 0.52
1315, 0.76
1316, 0.48
1317, 0.45
1318, 0.59
1319, 0.61
1320, 0.65
1321, 0.60
1322, 0.47
1323, 0.60
1324, 0.60
1325, 0.47
1326, 0.54
1327, 0.59
1328, 0.71
1329, 0.70
1330, 0.58
1331, 0.51
1332, 0.71
1333, 0.57
1334, 0.66
1335, 0.66
1336, 0.42
1337, 0.50
1338, 0.63
1339, 0.54
1340, 0.60
1341, 0.53
1342, 0.54
1343, 0.54
1344, 0.64
1345, 0.75
1346, 0.50
1347, 0.51
1348, 0.52
1349, 0.56
1350, 0.62
1351, 0.59
1352, 0.45
1353, 0.57
1354, 0.59
1355, 0.61
1356, 0.50
1357, 0.55
1358, 0.65
1359, 0.50
1360, 0.61
1361, 0.56
1362, 0.74
1363, 0.53
1364, 0.63
1365, 0.51
1366, 0.44
1367, 0.74
1368, 0.65
1369, 0.55
1370, 0.54
1371, 0.49
1372, 0.60
1373, 0.50
1374, 0.59
1375, 0.76
1376, 0.57
1377, 0.25
1378, 0.64
1379, 0.61
1380, 0.56
1381, 0.59
1382, 0.46
1383, 0.57
1384, 0.62
1385, 0.65
1386, 0.70
1387, 0.55
1388, 0.49
1389, 0.44
1390, 0.59
1391, 0.74
1392, 0.57
1393, 0.61
1394, 0.75
1395, 0.63
1396, 0.64
1397, 0.46
1398, 0.54
1399, 0.65
1400, 0.53
1401, 0.60
1402, 0.52
1403, 0.49
1404, 0.53
1405, 0.46
1406, 0.59
1407, 0.63
1408, 0.55
1409, 0.41
1410, 0.76
1411, 0.57
1412, 0.76
1413, 0.55
1414, 0.59
1415, 0.47
1416, 0.51
1417, 0.63
1418, 0.50
1419, 0.65
1420, 0.60
1421, 0.49
1422, 0.56
1423, 0.55
1424, 0.54
1425, 0.63
1426, 0.61
1427, 0.61
1428, 0.56
1429, 0.47
1430, 0.59
1431, 0.61
1432, 0.66
1433, 0.59
1434, 0.60
1435, 0.50
1436, 0.58
1437, 0.62
1438, 0.48
1439, 0.67
1440, 0.54
1441, 0.57
1442, 0.60
1443, 0.49
1444, 0.62
1445, 0.47
1446, 0.46
1447, 0.43
1448, 0.49
1449, 0.52
1450, 0.67
1451, 0.66
1452, 0.69
1453, 0.73
1454, 0.53
1455, 0.58
1456, 0.59
1457, 0.62
1458, 0.46
1459, 0.59
1460, 0.55
1461, 0.27
1462, 0.60
1463, 0.46
1464, 0.63
1465, 0.48
1466, 0.56
1467, 0.46
1468, 0.54
1469, 0.62
1470, 0.59
1471, 0.55
1472, 0.50
1473, 0.51
1474, 0.57
1475, 0.51
1476, 0.48
1477, 0.56
1478, 0.49
1479, 0.53
1480, 0.72
1481, 0.59
1482, 0.58
1483, 0.71
1484, 0.51
1485, 0.63
1486, 0.54
1487, 0.76
1488, 0.46
1489, 0.63
1490, 0.46
1491, 0.61
1492, 0.50
1493, 0.40
1494, 0.66
1495, 0.76
1496, 0.54
1497, 0.68
1498, 0.49
1499, 0.53
1500, 0.53
1501, 0.53
1502, 0.31
1503, 0.64
1504, 0.53
1505, 0.47
1506, 0.58
1507, 0.60
1508, 0.70
1509, 0.34
1510, 0.65
1511, 0.57
1512, 0.46
1513, 0.51
1514, 0.55
1515, 0.51
1516, 0.57
1517, 0.52
1518, 0.60
1519, 0.46
1520, 0.50
1521, 0.48
1522, 0.34
1523, 0.45
1524, 0.42
1525, 0.59
1526, 0.51
1527, 0.45
1528, 0.65
1529, 0.67
1530, 0.43
1531, 0.73
1532, 0.48
1533, 0.67
1534, 0.61
1535, 0.62
1536, 0.56
1537, 0.62
1538, 0.74
1539, 0.63
1540, 0.52
1541, 0.75
1542, 0.62
1543, 0.51
1544, 0.63
1545, 0.58
1546, 0.68
1547, 0.66
1548, 0.69
1549, 0.70
1550, 0.48
1551, 0.28
1552, 0.67
1553, 0.52
1554, 0.59
1555, 0.45
1556, 0.54
1557, 0.75
1558, 0.54
1559, 0.56
1560, 0.75
1561, 0.56
1562, 0.46
1563, 0.45
1564, 0.54
1565, 0.73
1566, 0.43
1567, 0.65
1568, 0.56
1569, 0.75
1570, 0.56
1571, 0.68
1572, 0.74
1573, 0.45
1574, 0.53
1575, 0.53
1576, 0.69
1577, 0.76
1578, 0.75
1579, 0.60
1580, 0.28
1581, 0.35
1582, 0.53
1583, 0.67
1584, 0.29
1585, 0.61
1586, 0.50
1587, 0.61
1588, 0.60
1589, 0.69
1590, 0.62
1591, 0.73
1592, 0.61
1593, 0.35
1594, 0.58
1595, 0.49
1596, 0.65
1597, 0.65
1598, 0.70
1599, 0.57
1600, 0.47
1601, 0.31
1602, 0.71
1603, 0.64
1604, 0.66
1605, 0.52
1606, 0.63
1607, 0.63
1608, 0.54
1609, 0.56
1610, 0.68
1611, 0.59
1612, 0.59
1613, 0.50
1614, 0.61
1615, 0.76
1616, 0.66
1617, 0.57
1618, 0.52
1619, 0.61
1620, 0.74
1621, 0.62
1622, 0.71
1623, 0.38
1624, 0.67
1625, 0.68
1626, 0.57
1627, 0.69
1628, 0.65
1629, 0.51
1630, 0.72
1631, 0.66
1632, 0.54
1633, 0.50
1634, 0.45
1635, 0.37
1636, 0.72
1637, 0.56
1638, 0.66
1639, 0.49
1640, 0.47
1641, 0.50
1642, 0.75
1643, 0.60
1644, 0.63
1645, 0.49
1646, 0.47
1647, 0.72
1648, 0.67
1649, 0.48
1650, 0.34
1651, 0.51
1652, 0.48
1653, 0.74
1654, 0.51
1655, 0.64
1656, 0.49
1657, 0.62
1658, 0.55
1659, 0.65
1660, 0.62
1661, 0.44
1662, 0.61
1663, 0.61
1664, 0.67
1665, 0.70
1666, 0.60
1667, 0.61
1668, 0.45
1669, 0.67
1670, 0.60
1671, 0.74
1672, 0.55
1673, 0.64
1674, 0.58
1675, 0.45
1676, 0.52
1677, 0.65
1678, 0.45
1679, 0.69
1680, 0.58
1681, 0.69
1682, 0.51
1683, 0.55
1684, 0.60
1685, 0.69
1686, 0.70
1687, 0.63
1688, 0.46
1689, 0.62
1690, 0.66
1691, 0.60
1692, 0.59
1693, 0.47
1694, 0.66
1695, 0.59
1696, 0.57
1697, 0.75
1698, 0.64
1699, 0.59
1700, 0.42
1701, 0.69
1702, 0.69
1703, 0.74
1704, 0.52
1705, 0.65
1706, 0.73
1707, 0.60
1708, 0.56
1709, 0.58
1710, 0.53
1711, 0.44
1712, 0.62
1713, 0.38
1714, 0.52
1715, 0.71
1716, 0.69
1717, 0.61
1718, 0.52
1719, 0.51
1720, 0.56
1721, 0.51
1722, 0.49
1723, 0.51
1724, 0.56
1725, 0.63
1726, 0.67
1727, 0.61
1728, 0.39
1729, 0.73
1730, 0.54
1731, 0.57
1732, 0.70
1733, 0.64
1734, 0.57
1735, 0.60
1736, 0.61
1737, 0.46
1738, 0.72
1739, 0.59
1740, 0.72
1741, 0.66
1742, 0.44
1743, 0.50
1744, 0.54
1745, 0.60
1746, 0.52
1747, 0.60
1748, 0.57
1749, 0.60
1750, 0.60
1751, 0.31
1752, 0.58
1753, 0.61
1754, 0.73
1755, 0.63
1756, 0.31
1757, 0.71
1758, 0.59
1759, 0.60
1760, 0.64
1761, 0.68
1762, 0.57
1763, 0.45
1764, 0.67
1765, 0.67
1766, 0.61
1767, 0.71
1768, 0.49
1769, 0.57
1770, 0.54
1771, 0.63
1772, 0.38
1773, 0.47
1774, 0.65
1775, 0.63
1776, 0.54
1777, 0.54
1778, 0.64
1779, 0.52
1780, 0.75
1781, 0.51
1782, 0.54
1783, 0.58
1784, 0.53
1785, 0.60
1786, 0.64
1787, 0.63
1788, 0.67
1789, 0.59
1790, 0.70
1791, 0.52
1792, 0.56
1793, 0.64
1794, 0.56
1795, 0.25
1796, 0.52
1797, 0.63
1798, 0.51
1799, 0.67
1800, 0.73
1801, 0.61
1802, 0.55
1803, 0.56
1804, 0.49
1805, 0.59
1806, 0.76
1807, 0.62
1808, 0.63
1809, 0.63
1810, 0.64
1811, 0.58
1812, 0.64
1813, 0.65
1814, 0.65
1815, 0.61
1816, 0.47
1817, 0.56
1818, 0.41
1819, 0.54
1820, 0.54
1821, 0.55
1822, 0.49
1823, 0.46
1824, 0.55
1825, 0.62
1826, 0.43
1827, 0.53
1828, 0.48
1829, 0.66
1830, 0.49
1831, 0.47
1832, 0.65
1833, 0.75
1834, 0.63
1835, 0.47
1836, 0.75
1837, 0.37
1838, 0.60
1839, 0.48
1840, 0.52
1841, 0.55
1842, 0.47
1843, 0.47
1844, 0.58
1845, 0.63
1846, 0.63
1847, 0.54
1848, 0.60
1849, 0.49
1850, 0.63
1851, 0.45
1852, 0.35
1853, 0.69
1854, 0.59
1855, 0.61
1856, 0.64
1857, 0.47
1858, 0.50
1859, 0.56
1860, 0.46
1861, 0.59
1862, 0.69
1863, 0.46
1864, 0.59
1865, 0.70
1866, 0.38
1867, 0.66
1868, 0.52
1869, 0.69
1870, 0.48
1871, 0.59
1872, 0.58
